Raw_Data_File cells tracer_molecule labelled_positions abundance injection Replicate Incubation_time Metabolite_name CHEBI atomic_positions Empirical_formula retention(min) mz_monitored signal_intensity isotopologue isotologue_abundance


'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C1C2 chebi C1C2 C10H24N1O2Si2 12.25 247.1 666844 Gly_13C1 666844
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C1C2 chebi C1C2 C10H24N1O2Si2 12.25 248.1 276280 Gly_13C2 276280
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C1C2 chebi C1C2 C10H24N1O2Si2 12.25 249.1 40317 Gly_13C3 40317
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C1C2 chebi C1C2 C10H24N1O2Si2 12.25 250.1 6543 Gly_13C4 6543
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C2 chebi C2C2 C9H24N1OSi2 12.25 217.1 -12319 Gly_13C-1 -12319
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C2 chebi C2C2 C9H24N1OSi2 12.25 218.1 3519414 Gly_13C0 3519414
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C2 chebi C2C2 C9H24N1OSi2 12.25 219.1 760802 Gly_13C1 760802
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C2 chebi C2C2 C9H24N1OSi2 12.25 220.1 315618 Gly_13C2 315618
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Glycine_C2 chebi C2C2 C9H24N1OSi2 12.25 221.1 43782 Gly_13C3 43782
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 259.2 -1545 Val_13C-1 -1545
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 260.2 1281341 Val_13C0 1281341
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 261.2 313179 Val_13C1 313179
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 262.2 124371 Val_13C2 124371
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 263.2 27014 Val_13C3 27014
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 264.2 5046 Val_13C4 5046
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 265.2 1258 Val_13C5 1258
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Valine chebi C2C5 C12H30N1OSi2 14.07 266.2 165 Val_13C6 165
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 273.2 -3401 Leu_13C-1 -3401
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 274.2 1286494 Leu_13C0 1286494
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 275.2 315333 Leu_13C1 315333
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 276.2 121588 Leu_13C2 121588
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 277.2 13448 Leu_13C3 13448
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 278.2 900 Leu_13C4 900
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 279.2 -655 Leu_13C5 -655
'SW620_24h_12Glc_R1_PIM_SCAN_01.CDF' SW620 D-[1,2-C13]-Glucose 1,1,0,0,0,0 50 1 1 24 Leucine chebi C2C5 C13H32N1OSi2 14.93 280.2 8 Leu_13C6 8
